GeneSymbol	Gene ID (Biomart)	log2FC	Significance
TPRG1L	127262	-0.09539096542657965	0
WRAP73	49856	-0.1411077463243693	1
TP73	7161	-0.02182787418985921	0
AL136528.1	0	-0.03438437529141947	0
AL136528.2	0	-0.030345192536089804	0
TP73-AS1	57212	-0.02084551600319884	0
CCDC27	148870	0.08157364779455989	0
SMIM1	388588	0.11374603101861958	0
LRRC47	0	-0.155866750420401	1
RN7SL574P	0	-0.06246914415270055	0
AL365330.1	0	0.004700225798240254	0
CEP104	9731	-0.11851906117649058	1
DFFB	1677	-0.09251632789810937	0
C1orf174	339448	-0.016622426246280853	0
LINC01134	100133612	-0.13955341541907984	0
LINC01346	0	-0.10065848989110027	0
LINC01777	284661	0.02755049092397055	0
AJAP1	55966	0.061425683331648884	0
BX005132.2	0	0.031023270439080264	0
AL139823.1	0	-0.05976043807785025	0
Z98259.3	0	0.04034866014034044	0
Z98259.2	0	0.0	0
AL365255.1	0	0.0	0
MIR4689	100616421	0.058573761363059695	0
NPHP4	261734	-0.034758041078399415	0
KCNAB2	8514	0.0633433300507793	0
CHD5	26038	0.05879000812089075	0
AL031847.2	0	-0.058110720449899844	0
RPL22	0	0.10284114388499965	0
AL031847.1	0	0.04806088284816035	0
RNF207	388591	0.13332725583792016	0
ICMT	23463	0.038473346930700814	0
LINC00337	0	0.022019080116630008	0
HES3	390992	0.23088488171971022	0
GPR153	387509	0.19624277491293007	1
ACOT7	11332	0.06462473631149912	0
AL031848.2	0	0.05574449205330012	0
HES2	0	0.22851505794511073	0
ESPN	83715	0.4194269603508003	1
AL031848.1	0	-0.034434033288450294	0
TNFRSF25	8718	0.519084328041	1
PLEKHG5	57449	0.6006620458783907	1
NOL9	79707	-0.04701587342724878	0
TAS1R1	80835	-0.0028692618466594766	0
ZBTB48	3104	-0.05589617797750002	0
KLHL21	0	-0.051027009867290474	0
PHF13	0	0.028932010955500687	0
THAP3	90326	-0.02774046454308099	0
DNAJC11	55735	-0.1330622862080002	1
CAMTA1-DT	0	0.06517860786585938	0
CAMTA1	23261	-0.03055284533630065	0
AL590128.1	0	0.0	0
CAMTA1-IT1	0	0.07620843232457997	0
AL359881.3	0	-0.012606896901010245	0
AL359881.2	0	-0.06775494679312999	0
AL359881.1	0	-0.09364747134897033	0
VAMP3	9341	-0.0344635267507698	0
Z98884.2	0	0.015123354351409546	0
PER3	8863	0.1679198006011795	0
TNFRSF9	3604	0.05684506350769958	0
PARK7	11315	-0.02959393773980068	0
AL034417.4	0	-0.05142083804230957	0
AL034417.3	0	-0.05600721082169002	0
ERRFI1	54206	0.20562323710226948	1
AL034417.2	0	0.08574430632038066	0
AL034417.1	0	0.05332453865951958	0
AL358876.1	0	-0.030419752770630026	0
LINC01714	102724539	0.032100154598750485	0
SLC45A1	50651	0.020402902872519668	0
RF00019	0	0.05965064552272992	0
RERE	473	-0.034024198996700505	0
RERE-AS1	0	-0.0841909777198202	0
RPL7P11	0	0.031892250697339364	0
RPL7P7	0	-0.031893728104000374	0
AL357552.2	0	0.015687440064259484	0
RPL23AP19	0	-0.03142920978419017	0
ENO1	2023	0.2521585291662003	1
MIR6728	102465436	0.08527100073411997	0
ENO1-AS1	100505975	0.15058396511568972	0
HMGN2P17	0	0.06711103613083935	0
AL139415.1	0	0.032100154598750485	0
CA6	765	-0.05200791545512029	0
SLC2A7	155184	0.0	0
SLC2A5	6518	0.008518508381439638	0
GPR157	80045	0.10517648605947016	0
MIR34AHG	106614088	0.2563622279966502	1
LNCTAM34A	102724571	0.11447343005084942	0
H6PD	9563	0.0299638067685013	0
SPSB1	0	0.08089182569520048	0
BX323043.1	0	0.05936127397493962	0
LINC02606	100506022	0.02179435226658999	0
SLC25A33	84275	-0.02108072577989084	0
AL954705.1	0	-0.06290290029370027	0
TMEM201	199953	-0.16743366776977098	1
PIK3CD	5293	0.061796687209699996	0
AL691449.1	0	-0.02668151066572033	0
PIK3CD-AS2	0	-0.10053457017913026	0
CLSTN1	22883	-0.06145825717329956	0
MZT1P1	0	0.06101701197383047	0
AL357140.3	0	-0.09086435191023945	0
CTNNBIP1	56998	-0.12864593285689985	1
AL357140.1	0	0.07892397563503994	0
LZIC	84328	-0.0726774041429401	0
AL357140.2	0	0.018510279278239672	0
NMNAT1	64802	0.017718776184829643	0
RN7SKP269	0	-0.029584698183049873	0
MIR5697	100847055	-0.034434033288450294	0
RBP7	116362	-0.025904154892930187	0
UBE4B	10277	-0.07064013670539993	0
AL590639.1	0	0.0	0
PGAM1P11	0	-0.11338183045357031	0
RNU6-828P	0	-0.11695881959397969	0
KIF1B	23095	0.05036351935710037	0
AL358013.1	0	0.06675194908940973	0
RNU6-37P	0	-0.0256026703939094	0
AL139424.3	0	0.028375954958899996	0
AL139424.2	0	0.05319658865321042	0
PGD	5226	-0.026882673107600397	0
AL139424.1	0	-0.04250985776677929	0
CENPS-CORT	100526739	0.03224345939991036	0
CENPS	0	-0.0038771479740002945	0
CORT	1325	0.0014627033648997312	0
DFFA	1676	-0.00712433995420092	0
AL354956.1	0	0.03348489814650968	0
PEX14	5195	-0.048042843647360556	0
RN7SL614P	0	0.025043790267750055	0
CASZ1	54897	-0.18579492717723056	1
AL139423.1	0	-0.14218684197066978	0
C1orf127	148345	-0.02381042885171958	0
CFL1P6	0	-0.09719436353876976	0
TARDBP	23435	-0.008368579341500038	0
MASP2	10747	-0.10917664648097958	0
AL109811.2	0	-0.0072889288334501146	0
SRM	6723	-0.11306100806906016	0
EXOSC10	5394	-0.09289521382389943	1
AL109811.1	0	0.01263207151875978	0
EXOSC10-AS1	0	-0.19661876117138988	0
MTOR	2475	-0.12116943261810142	1
MTOR-AS1	100873935	0.0	0
ANGPTL7	10218	0.06675194908940973	0
UBIAD1	29914	-0.1178823186800404	0
UBE2V2P3	0	-0.031893728104000374	0
AL031291.1	0	0.017308068779209762	0
MTCYBP45	0	-0.00219831703209028	0
DISP3	57540	-0.0668156476766999	0
AL590989.1	0	-0.0006232806443700056	0
LINC01647	101929181	0.02973106083522037	0
FBXO2	0	0.24922978599114032	1
FBXO44	93611	-0.006079390086670244	0
FBXO6	26270	0.026168516061770397	0
MAD2L2	10459	-0.008928522293899732	0
DRAXIN	374946	0.19161980961840008	1
AGTRAP	57085	0.18833052337341982	1
C1orf167	284498	0.052116809205990045	0
AL953897.1	102724659	0.0	0
MTHFR	4524	-0.04166079618300067	0
CLCN6	1185	-0.1571758273735	1
NPPA	4878	-0.06076494530673049	0
NPPB	4879	0.13786160988034002	0
AL021155.1	0	-0.18909733253206973	0
AL021155.2	0	0.023377263907939927	0
KIAA2013	90231	0.06947278461207951	0
PLOD1	5351	0.27750996112678905	1
MFN2	9927	-0.12181429953299983	1
MIIP	60672	-0.17224046771816148	1
RF00019	0	0.0	0
TNFRSF8	943	0.08359894655306999	0
TNFRSF1B	7133	0.2892064100610705	1
VPS13D	55187	-0.0905559798639004	0
SNORA59A	677882	-0.05682788844672082	0
AC243836.1	0	-0.05976043807785025	0
DHRS3	9249	0.4407588338491699	1
RNU6ATAC18P	0	0.04236485040719007	0
MIR6730	0	-0.015590939292080108	0
AC254633.1	0	0.1552283574133302	0
C1orf158	93190	0.12631246422014009	0
PRAMEF12	390999	0.0	0
HNRNPCL1	343069	-0.06161132036670036	0
PRAMEF2	65122	0.0	0
HNRNPCL2	440563	0.09884433331598963	0
LRRC38	126755	0.031023270439080264	0
BRWD1P1	0	0.03224345939991036	0
PDPN	10630	0.20617991885250042	1
RF00564	0	0.03224345939991036	0
PRDM2	7799	-0.06596510477129947	0
KAZN	23254	0.06877037179939904	0
AL357873.1	0	-0.09631847064552979	0
KAZN-AS1	0	0.02755049092397055	0
TMEM51-AS1	200197	0.23792336315608953	1
TMEM51	55092	0.33266868086156	1
C1orf195	727684	0.03224345939991036	0
AL035405.1	0	0.03049007861955033	0
AL391094.1	0	0.004232041720030111	0
FHAD1	114827	0.8843408563369799	1
AL031283.2	101927417	0.005696865649680305	0
AL031283.3	0	0.0	0
AL031283.1	0	0.1722279855089699	0
EFHD2	79180	0.016007439911859933	0
CTRC	11330	0.0986677339540103	0
CELA2A	63036	0.0	0
CASP9	842	0.018054155650700565	0
DNAJC16	0	-0.06370615733368012	0
SCARNA21B	107397391	0.0	0
AL121992.3	0	0.058573761363059695	0
AGMAT	0	0.11429661056117002	0
AL121992.1	0	-0.048150677553400634	0
CHCHD2P6	0	0.057027629391230406	0
RNU7-179P	0	0.06312342503784052	0
DDI2	0	0.001773776755658929	0
AL121992.2	0	0.031892250697339364	0
PLEKHM2	23207	-0.11549771991810154	1
AL450998.3	0	0.02755049092397055	0
SLC25A34	284723	-0.18767192230440966	0
SLC25A34-AS1	110806303	0.06151334905862971	0
TMEM82	0	0.0	0
FBLIM1	54751	0.24697597522620018	1
RPL12P14	0	0.0860807360636997	0
UQCRHL	440567	-0.002772284413150139	0
AL450998.1	0	0.03909234257137051	0
AL450998.2	729614	-0.018528611934649497	0
SPEN	0	-0.0239391443464001	0
ZBTB17	7709	-0.060342997570050017	0
AL355994.4	0	-0.030345192536089804	0
TBC1D3P6	0	0.0	0
SRARP	149563	0.0	0
HSPB7	27129	-0.0004059393451099069	0
CLCNKA	1187	0.015166097333279893	0
AL355994.2	0	0.1696706572633504	0
CLCNKB	1188	0.15781132725633995	0
FAM131C	0	0.28387426323310017	1
EPHA2	1969	0.4221005266628097	1
AL451042.2	0	-0.039832388010189845	0
AL451042.1	0	0.04027373257116995	0
ARHGEF19	128272	0.2436798372991893	1
ANO7L1	0	0.0240948613704699	0
CPLANE2	79363	0.06417263329111034	0
MT1XP1	0	-0.06705463466029027	0
FBXO42	54455	0.05094640471920009	0
SZRD1	26099	-0.08986194263430036	0
RPL22P3	0	0.06179634606952966	0
SPATA21	374955	-0.06534406151324035	0
NECAP2	55707	-0.07676418686711983	0
LINC01772	0	0.09935116912378028	0
CROCCP3	114819	-0.03319929130817023	0
RNU1-1	26871	0.059824890501610106	0
AL137802.2	0	-0.05496916032802002	0
AL137802.3	0	-0.12194556388157007	0
LINC01783	0	0.010749387291879131	0
RNU1-6P	0	-0.02532640478939996	0
AL355149.1	0	0.0	0
NBPF1	55672	-0.13645381590740158	1
AL137798.1	0	0.0	0
CROCCP2	84809	-0.04607315568240011	0
MST1P2	0	-0.06159772921349038	0
AL021920.2	0	-0.08835782366794032	0
EIF1AXP1	0	0.05167142310250039	0
ESPNP	0	0.0180266458863505	0
CROCC	9696	0.24173761291259943	1
CROCCP4	0	0.0	0
MST1L	0	0.04419344520808011	0
BX284668.2	112267871	0.10537071346843963	0
BX284668.5	0	-0.016036540415030665	0
RNU1-2	26870	-0.03142920978419017	0
BX284668.6	0	-0.1484039211361301	0
MFAP2	4237	0.43956229000052893	1
AL049569.1	0	-0.002535059141060003	0
ATP13A2	23400	-0.07242587219650076	0
SDHB	6390	-0.03477290961322055	0
PADI2	11240	0.20545917564246974	0
AL590644.1	400743	0.2214911476548007	0
PADI1	29943	0.10357937855942989	0
PADI3	51702	0.1327343247731001	0
PADI4	23569	0.03049007861955033	0
RCC2-AS1	0	0.011970591079769832	0
RCC2	55920	-0.08039213695330005	0
ARHGEF10L	55160	0.03171859487530071	0
AL136529.1	0	-0.06632776139246044	0
ACTL8	81569	0.023343389745480003	0
IGSF21	84966	-0.2573975149140102	1
AL591896.1	0	0.07284163006665079	0
KLHDC7A	0	0.0005066673109404007	0
DYNLL1P3	0	0.0018982668638205524	0
PAX7	5081	0.13545187838979977	1
AL080251.1	0	-0.030419752770630026	0
ALDH4A1	8659	-0.017258264401640133	0
MIR1290	0	0.029993741534750207	0
IFFO2	126917	-0.05440794546658978	0
AL137127.1	0	-0.061027894164629615	0
UBR4	23352	-0.03272599178710145	0
EMC1-AS1	0	-0.07626779168388964	0
EMC1	23065	-0.01690797131100119	0
MRTO4	51154	-0.14862098765910048	1
AL035413.2	0	-0.02520399981067989	0
AKR7L	0	0.016403310064029952	0
AKR7A3	22977	-0.07233622485864988	0
AL035413.1	0	0.0	0
AKR7A2	8574	0.0037165931017391074	0
RNU6-1099P	0	-0.12466801220322044	0
PQLC2	54896	-0.019216053774050224	0
CAPZB	832	0.051864260951200336	0
MICOS10	440574	-0.04917967068993079	0
AL031727.2	105378614	0.029152699688170358	0
NBL1	4681	0.19802985038821053	0
AL031727.1	0	0.12652994646515037	0
HTR6	0	0.1558526536423992	0
TMCO4	255104	-0.008884336244610047	0
OTUD3	23252	0.054330721466900656	0
PLA2G2A	5320	0.0	0
PLA2G5	5322	0.0	0
PLA2G2D	26279	0.0	0
PLA2G2F	64600	0.03224345939991036	0
Z98257.1	0	0.029993741534750207	0
PLA2G2C	0	0.0002805833419898818	0
UBXN10-AS1	0	-0.06124614396141048	0
UBXN10	127733	0.05032672560552953	0
Z98257.2	0	-0.03142920978419017	0
VWA5B1	127731	0.26042984283820036	1
LINC01141	0	0.14023122365169982	0
AL139254.3	0	0.0	0
CAMK2N1	55450	0.1623303853021998	1
MUL1	79594	-0.101977159754151	0
RPS4XP4	0	-0.05665752525553014	0
FAM43B	0	0.04823803543439009	0
PINK1	65018	-0.0905844071250197	0
PINK1-AS	100861548	-0.06323782316585991	0
DDOST	1650	-0.04769450083430016	0
KIF17	57576	0.3915810774197892	1
SH2D5	400745	0.27319701919980055	1
AL663074.1	0	0.032100154598750485	0
HP1BP3	50809	0.023996992796600836	0
EIF4G3	8672	-0.08766716710920086	1
RPS15AP6	0	0.002180569911240049	0
AL627311.1	0	-0.02668151066572033	0
ECE1	1889	0.07579260618834027	0
AL031005.1	0	-0.02668151066572033	0
AL031728.1	100506801	0.20863149342213028	0
PPP1R11P1	0	0.02538321790309972	0
NBPF2P	0	-0.01693780075797946	0
HS6ST1P1	0	0.06763392188041006	0
CROCCP5	0	-0.03578763348698999	0
NBPF3	84224	-0.09723305871100152	0
ALPL	249	0.5964626937721107	1
LINC02596	0	0.0	0
RAP1GAP	5909	0.15868314803782013	0
USP48	84196	-0.05505405972849964	0
LDLRAD2	401944	0.15101847433152038	0
HSPG2	3339	0.3136350110496	1
AL590556.1	0	0.003312230869029875	0
LINC01635	101928043	0.07267902091748013	0
LINC00339	29092	-0.017198281308431262	0
CDC42	998	-0.017019118570098968	0
AL031281.2	0	0.037438729845419516	0
CDC42-IT1	0	0.08137869884988991	0
WNT4	54361	0.03180291466751051	0
AL445253.1	105376845	-0.046751903987219734	0
PPIAP34	0	-0.1720076013503098	0
AL591122.1	0	-0.03133112046613018	0
ZBTB40	9923	-0.15759988779960032	1
ZBTB40-IT1	0	-0.0597119613994197	0
EPHA8	2046	0.4581403418465495	1
C1QA	712	-0.08856594713769983	0
C1QC	714	-0.1113316745383699	0
C1QB	713	-0.054131913849250424	0
EPHB2	2048	0.006827510238299084	0
MIR4684	100616391	0.032100154598750485	0
MIR4253	100422914	-0.03672676465162006	0
LACTBL1	646262	0.03049007861955033	0
TEX46	729059	-0.005407353926639935	0
KDM1A	23028	-0.04319468718089858	0
MIR3115	100422866	-0.05200791545512029	0
LUZP1	7798	-0.11198399737589959	1
AL161672.1	0	-0.03133112046613018	0
HTR1D	3352	-0.020051512602199395	0
LINC01355	0	0.10402825215934008	0
HNRNPR	10236	-0.10153682406950004	1
ZNF436	80818	-0.09278836698726067	0
ZNF436-AS1	0	0.08881910973816964	0
AL109936.2	0	-0.05844824295772977	0
TCEA3	6920	-0.09087631634220994	0
AL357134.1	0	-0.034434033288450294	0
ASAP3	55616	-0.020326452726600053	0
E2F2	1870	0.023775164393949666	0
AL021154.1	0	0.027321678947149763	0
ID3	3399	0.09593555030047973	0
AL450043.1	0	0.02666593285406016	0
MDS2	0	0.027506974700640008	0
RPL11	6135	0.04905907931769882	0
ELOA	6924	-0.19712535983249957	1
ELOA-AS1	100506963	0.16456143584237015	0
PITHD1	57095	-0.09982856719870092	1
LYPLA2	11313	-0.15258907831420032	1
GALE	2582	-0.08383816596454885	0
HMGCL	3155	0.08289203757686003	0
FUCA1	2517	-0.20659291358338994	0
CNR2	1269	-0.06485378605908032	0
BTBD6P1	0	0.0	0
AL590609.2	0	-0.05710126343635036	0
PNRC2	55629	-0.057315634802598936	0
SRSF10	10772	0.06581552725879902	0
MYOM3	0	0.01417305879864994	0
IL22RA1	58985	0.07339222116906985	0
IFNLR1	163702	0.1358904825248306	0
AL590683.1	284632	0.003312230869029875	0
GRHL3	57822	-0.12749927723401022	0
STPG1	90529	0.11364642260789992	0
NIPAL3	57185	0.11640760416245044	0
RCAN3AS	100750325	-0.030419752770630026	0
RCAN3	11123	-0.11826395623026986	0
NCMAP	400746	-0.0034107628493700304	0
SRRM1	10250	-0.04022468826850023	0
CLIC4	25932	0.10825523356609956	0
RUNX3	864	-0.04439172342178033	0
AL445471.2	0	0.03465179449066014	0
AL050344.1	0	0.0	0
AL031432.1	0	-0.02668151066572033	0
SYF2	25949	-0.08454536017435998	0
AL031432.4	0	0.12612223079120977	0
AL031432.5	0	-0.10113584123647001	0
RSRP1	57035	-0.17195501642170008	1
AL031432.3	0	0.10026811120236978	0
AL031432.2	0	-0.048985459390930686	0
RHD	6007	-0.02668151066572033	0
SDHDP6	0	0.0920854415897896	0
AL928711.1	0	0.07172300432833989	0
TMEM50A	23585	-0.1007713371097001	0
RHCE	6006	0.07765443224100022	0
AL031284.1	0	0.03396795153155008	0
MACO1	55219	-0.08589487968759002	0
LDLRAP1	26119	-0.1341672760132493	0
AL606491.1	0	0.12435575723870063	0
MAN1C1	57134	-0.06279039991657065	0
SELENON	57190	-0.06166425424989974	0
AL020996.1	0	0.08944397559047079	0
MTFR1L	56181	-0.07312688769500042	0
AUNIP	79000	-0.18426146688581024	0
AL033528.2	0	-0.07255227438573986	0
PAQR7	164091	0.24651503735335023	1
STMN1	3925	0.009891279937301434	0
PAFAH2	5051	0.023899536462311133	0
EXTL1	2134	0.09498812080486996	0
SLC30A2	7780	-0.10725421823747983	0
TRIM63	84676	-0.0038241457654901723	0
PDIK1L	149420	-0.05836506354300042	0
FAM110D	0	0.13057568548140086	0
C1orf232	110806296	0.07024622119004054	0
AL391650.1	118568799	-0.02009998339296004	0
ZNF593	0	0.036283530853769896	0
CNKSR1	10256	0.056710154318520445	0
CATSPER4	378807	-0.0596682889370701	0
AL355877.1	101928303	0.035610490801910366	0
AL355877.3	0	0.08974417563530057	0
CEP85	64793	-0.015331284948489454	0
AL355877.2	0	-0.03142920978419017	0
SH3BGRL3	83442	0.06875914841177	0
UBXN11	91544	0.13233863360504117	0
CD52	1043	-0.03133112046613018	0
CRYBG2	55057	0.08508542487678028	0
AL451139.1	0	0.0	0
ZNF683	257101	0.03320384035033008	0
LIN28A	79727	0.8414085201240606	1
DHDDS	79947	-0.15507241862603038	1
AL513365.1	0	-0.04847801891113068	0
AL513365.2	0	0.19780730338642982	0
HMGN2	3151	-0.14134238460109927	1
RPS6KA1	6195	0.008495839903019942	0
AL512408.1	101928728	-0.12134226586842001	0
ARID1A	8289	-0.1253498279507994	1
PIGV	55650	0.04315523420973033	0
RN7SL165P	0	-0.031893728104000374	0
ZDHHC18	0	-0.04742013416196045	0
SFN	2810	0.027171209150980147	0
GPN2	0	-0.004142990655459755	0
AL034380.1	0	0.0	0
GPATCH3	0	-0.09523098421277965	0
NUDC	10726	-0.14258922217019965	1
NR0B2	8431	-0.02915055055489013	0
KDF1	126695	0.0	0
RPL12P13	0	0.04060478790839017	0
OSTCP2	0	-0.05567159732548976	0
TRNP1	388610	0.10689968059015076	0
TENT5B	0	0.0822415009405999	0
SLC9A1	6548	-0.17612773241867963	1
AL590640.2	0	-0.02532640478939996	0
CHCHD3P3	0	-0.14709269716525952	0
NPM1P39	0	0.05466527720229042	0
SNRPEP7	0	0.027506974700640008	0
WDTC1	23038	-0.03995650360490011	0
FO393419.3	0	-0.17918899816238998	0
TMEM222	84065	-0.05233940467751985	0
RNU6-48P	0	-0.06729567669578973	0
ACTG1P20	0	-0.18430237311580022	0
SYTL1	84958	0.14129801291826993	0
MAP3K6	9064	0.16210555793867965	0
FCN3	8547	0.0	0
GPR3	2827	0.09435288298444	0
WASF2	10163	-0.06343174408690011	0
BX293535.1	0	-0.09700546329033966	0
AHDC1	27245	0.04972407309254123	0
FGR	2268	-0.00729029875158016	0
AL031729.1	0	0.06160093778315012	0
LINC02574	0	0.0	0
IFI6	2537	0.1783929618054403	1
FAM76A	199870	0.024015873000470478	0
AL020997.1	0	-0.07084163738306959	0
RPEP3	0	-0.06231348087464017	0
STX12	23673	-0.029495547837299796	0
AL020997.2	0	0.04513780863451977	0
AL020997.3	0	-0.1141420826831796	0
RNU6-1245P	0	0.001754962062660681	0
PPP1R8	5511	-0.04249530314629979	0
SCARNA1	677774	0.011747365575210722	0
THEMIS2	9473	0.14506677546095048	0
RPA2	6118	-0.07471785271170006	0
SMPDL3B	27293	-0.023352292894689874	0
AL512288.1	0	0.03465179449066014	0
XKR8	55113	0.08637686907932007	0
EYA3	2140	-0.10500274004590082	0
AL512288.2	0	-0.07793712661214958	0
RN7SL559P	0	0.08663478275266012	0
SPCS2P4	0	0.014818389887399697	0
AL137792.1	0	0.0	0
PTAFR	5724	-0.16317179227185985	0
DNAJC8	0	-0.08168197901460061	0
ATP5IF1	93974	-0.03263299615270121	0
AL353622.1	0	0.13991143795746996	0
AL353622.2	0	-0.034434033288450294	0
SESN2	83667	0.18016211123167913	1
MED18	54797	-0.03282704041311035	0
PHACTR4	65979	-0.017910905304900027	0
CR391992.1	0	-0.025176865360769796	0
RNU6ATAC27P	0	-0.1780947307645393	0
RCC1	1104	-0.07846076041500005	0
SNHG3	8420	-0.06645591115439942	0
